,ToZone,Trips,Hour
336,100572,38.330096,h3
337,100573,30.457458,h3
338,100574,48.381627,h3
339,100575,78.581652,h3
340,100576,13.096232,h3
341,100577,19.459637,h3
342,100578,47.23012,h3
343,100579,13.196512,h3
344,100580,62.138954,h3
345,100581,77.291521,h3
346,100582,25.359844,h3
347,100583,9.870127,h3
348,100584,57.984917,h3
349,100585,2.222577,h3
350,100586,25.835113,h3
351,100587,46.334633,h3
352,100598,63.48866,h3
353,100667,44.184128,h3
354,100668,16.613883,h3
355,100669,26.258298,h3
356,100793,17.608423,h3
357,100799,89.429067,h3
358,101258,19.339033,h3
359,101260,62.753469,h3
360,100439,94.875664,h4
361,100505,151.470443,h4
362,100506,50.005759,h4
363,100507,7.518158,h4
364,100508,41.433844,h4
365,100509,134.255851,h4
366,100510,35.720366,h4
367,100511,33.742532,h4
368,100512,46.752779,h4
369,100513,39.228851,h4
370,100514,88.93661,h4
371,100515,54.656425,h4
372,100516,56.014536,h4
373,100517,71.494843,h4
374,100518,494.103544,h4
375,100519,41.238634,h4
376,100520,47.735782,h4
377,100521,86.974829,h4
378,100522,127.458107,h4
379,100523,31.547092,h4
380,100524,21.135771,h4
381,100525,33.602732,h4
382,100526,52.017146,h4
383,100527,77.81936,h4
384,100528,44.580524,h4
385,100529,27.661048,h4
386,100530,53.716584,h4
387,100531,49.362979,h4
388,100532,46.310248,h4
389,100533,94.141799,h4
390,100534,62.701932,h4
391,100535,131.835809,h4
392,100536,83.820745,h4
393,100537,8.238255,h4
394,100538,175.104921,h4
395,100539,97.194598,h4
396,100540,41.07148,h4
397,100541,81.177132,h4
398,100542,14.832777,h4
399,100543,20.700793,h4
400,100544,75.707311,h4
401,100545,150.287733,h4
402,100546,44.98703,h4
403,100547,75.896422,h4
404,100548,312.05719,h4
405,100549,142.216501,h4
406,100550,15.928218,h4
407,100551,3.371426,h4
408,100552,6.269805,h4
409,100553,9.55332,h4
410,100554,23.617753,h4
411,100555,63.084102,h4
412,100556,5.228762,h4
413,100557,68.529526,h4
414,100558,53.618481,h4
415,100559,88.723522,h4
416,100560,4.749248,h4
417,100561,12.388245,h4
418,100562,41.74087,h4
419,100563,82.194802,h4
420,100564,0.942923,h4
421,100565,209.789028,h4
422,100566,44.764853,h4
423,100569,23.30321,h4
424,100570,15.966808,h4
425,100571,5.178271,h4
426,100572,40.252816,h4
427,100573,40.038974,h4
428,100574,47.785503,h4
429,100575,82.521697,h4
430,100576,24.63077,h4
431,100577,37.16896,h4
432,100578,58.279624,h4
433,100579,16.973374,h4
434,100580,86.915958,h4
435,100581,108.33655,h4
436,100582,37.819095,h4
437,100583,13.247916,h4
438,100584,71.305312,h4
439,100585,2.603211,h4
440,100586,29.35653,h4
441,100587,126.033212,h4
442,100598,64.659519,h4
443,100667,65.466544,h4
444,100668,17.980974,h4
445,100669,35.52791,h4
446,100793,13.089883,h4
447,100799,93.938301,h4
448,101258,38.797288,h4
449,101260,90.624625,h4
450,100439,248.205845,h5
451,100505,409.382852,h5
452,100506,108.161493,h5
453,100507,12.285017,h5
454,100508,75.974774,h5
455,100509,288.298294,h5
456,100510,74.999617,h5
457,100511,66.121364,h5
458,100512,98.868491,h5
459,100513,74.659954,h5
460,100514,222.748986,h5
461,100515,140.422919,h5
462,100516,115.769239,h5
463,100517,138.786255,h5
464,100518,493.364322,h5
465,100519,122.749825,h5
466,100520,185.253089,h5
467,100521,201.717964,h5
468,100522,198.797399,h5
469,100523,90.751841,h5
470,100524,44.457628,h5
471,100525,93.582605,h5
472,100526,89.03065,h5
473,100527,203.31532,h5
474,100528,129.491593,h5
475,100529,81.640499,h5
476,100530,92.952275,h5
477,100531,138.047414,h5
478,100532,74.56784,h5
479,100533,113.971897,h5
480,100534,102.173856,h5
481,100535,207.428992,h5
